     I1850Clm50BgcCropSoudzi   I1850Clm50BgcCrop
    0       1.31      1.31
    1       0.00      0.00
    2       0.09      0.08
    3       0.00      0.00
    4      -0.30     -0.30
    5       0.00      0.00
    6       0.07      0.06
    7       0.00      0.00
    8       0.35      0.35
    9       0.00      0.00
   10       0.08      0.08
   11       0.00      0.00
   12      93.62     93.62
