     I1850Clm50BgcCropSoudzi   I1850Clm50BgcCrop
    0      13.02     13.04
    1       0.00      0.00
    2       1.26      1.37
    3       0.00      0.00
    4       0.36      0.44
    5       0.00      0.00
    6      -1.33     -1.16
    7       0.00      0.00
    8       4.54      4.65
    9       0.05      0.05
   10       0.93      1.01
   11       0.04      0.05
   12      61.96     62.11
