"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","Period Mean (original grids)","MeanState","global","scalar","W m-2","182.321","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","Model Period Mean (intersection)","MeanState","global","scalar","W m-2","182.235","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","Model Period Mean (complement)","MeanState","global","scalar","W m-2","nan","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","Spatial Distribution Score","MeanState","global","score","1","0.99791","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","Phase Shift","MeanState","global","scalar","months","0.433325","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","Seasonal Cycle Score","MeanState","global","score","1","0.954995","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","Bias","MeanState","global","scalar","W m-2","-3.91919","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","Bias Score","MeanState","global","score","1","0.847026","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","RMSE","MeanState","global","scalar","W m-2","14.3421","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","RMSE Score","MeanState","global","score","1","0.820898","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM","Overall Score","MeanState","global","score","1","0.888345","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM-FUN2.0","Benchmark Period Mean (intersection)","MeanState","global","scalar","W m-2","186.155","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM-FUN2.0","Benchmark Period Mean (complement)","MeanState","global","scalar","W m-2","189.354","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM-FUN2.0","Period Mean (original grids)","MeanState","global","scalar","W m-2","182.321","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM-FUN2.0","Model Period Mean (intersection)","MeanState","global","scalar","W m-2","182.235","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","E3SM-FUN2.0","Model Period Mean (complement)","MeanState","global","scalar","W m-2","nan","30.0"
