     IHistClm50BgcSulman   IHistClm50Bgc
    0       0.93      0.95
    1       0.11      0.02
    2       0.42      0.44
    3       0.58      0.41
    4       0.34      0.36
    5       0.89      0.37
    6       0.20      0.21
    7       0.44      0.25
    8       0.49      0.51
    9       0.49      0.26
   10       0.62      0.64
   11       0.60      0.28
   12      10.90     10.69
