     IHistClm50BgcSulman   IHistClm50Bgc
    0       1.31      1.31
    1       0.00      0.00
    2       0.05      0.05
    3       0.00      0.00
    4      -0.33     -0.34
    5       0.00      0.00
    6       0.03      0.03
    7       0.00      0.00
    8       0.32      0.32
    9       0.00      0.00
   10       0.03      0.03
   11       0.00      0.00
   12      93.46     93.46
