     IHistClm50BgcSulman   IHistClm50Bgc
    0       4.48      4.49
    1       0.65      0.11
    2      -0.71     -0.70
    3       0.23      0.17
    4       3.00      3.02
    5       0.34      0.26
    6       0.43      0.43
    7       0.27      0.16
    8       0.53      0.53
    9       0.16      0.09
   10      -1.56     -1.56
   11       0.10      0.12
   12      26.28     26.32
