     IHistClm50BgcSulman   IHistClm50Bgc
    0      13.02     13.02
    1       0.06      0.14
    2       2.37      2.46
    3       0.20      0.24
    4       0.59      0.69
    5       0.21      0.23
    6      -0.37     -0.26
    7       0.15      0.52
    8       6.10      6.17
    9       0.52      0.14
   10       2.60      2.68
   11       0.32      0.14
   12      63.87     63.89
