Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUN,Phase Shift,MeanState,global,scalar,months,0.433325
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUN,Seasonal Cycle Score,MeanState,global,score,1,0.954995
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUN,Bias,MeanState,global,scalar,W m-2,-3.91919
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUN,Bias Score,MeanState,global,score,1,0.847026
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUN,RMSE,MeanState,global,scalar,W m-2,14.3421
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUN,RMSE Score,MeanState,global,score,1,0.820898
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUN,Overall Score,MeanState,global,score,1,0.888345
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Benchmark Period Mean (intersection),MeanState,global,scalar,W m-2,186.155
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Benchmark Period Mean (complement),MeanState,global,scalar,W m-2,189.354
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Period Mean (original grids),MeanState,global,scalar,W m-2,182.321
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Model Period Mean (intersection),MeanState,global,scalar,W m-2,182.235
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Model Period Mean (complement),MeanState,global,scalar,W m-2,nan
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Spatial Distribution Score,MeanState,global,score,1,0.99791
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Phase Shift,MeanState,global,scalar,months,0.433325
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Seasonal Cycle Score,MeanState,global,score,1,0.954995
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Bias,MeanState,global,scalar,W m-2,-3.91919
