"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Bias Score","MeanState","global","score","1","0.790141","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","RMSE","MeanState","global","scalar","K","1.34666","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","RMSE Score","MeanState","global","score","1","0.875613","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Overall Score","MeanState","global","score","1","0.903605","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Benchmark Period Mean (intersection)","MeanState","global","scalar","K","286.707","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Benchmark Period Mean (complement)","MeanState","global","scalar","K","289.558","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Period Mean (original grids)","MeanState","global","scalar","K","282.99","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Model Period Mean (intersection)","MeanState","global","scalar","K","286.542","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Model Period Mean (complement)","MeanState","global","scalar","K","262.442","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Spatial Distribution Score","MeanState","global","score","1","0.999777","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Phase Shift","MeanState","global","scalar","months","0.226185","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Seasonal Cycle Score","MeanState","global","score","1","0.975931","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Bias","MeanState","global","scalar","K","-0.160793","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Bias Score","MeanState","global","score","1","0.779931","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","RMSE","MeanState","global","scalar","K","1.36599","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","RMSE Score","MeanState","global","score","1","0.872702","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Overall Score","MeanState","global","score","1","0.900209","50.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN3.0","Period Mean (original grids)","MeanState","global","scalar","W m-2","311.846","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN3.0","Bias","MeanState","global","scalar","W m-2","2.31372","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN3.0","Bias Score","MeanState","global","score","1","0.647786","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN3.0","Phase Shift","MeanState","global","scalar","months","0.508716","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN3.0","Seasonal Cycle Score","MeanState","global","score","1","0.947421","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN3.0","RMSE","MeanState","global","scalar","W m-2","15.8203","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN3.0","RMSE Score","MeanState","global","score","1","0.704164","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN3.0","Overall Score","MeanState","global","score","1","0.750884","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN2.0","Period Mean (original grids)","MeanState","global","scalar","W m-2","311.846","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN2.0","Bias","MeanState","global","scalar","W m-2","2.31372","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN2.0","Bias Score","MeanState","global","score","1","0.647786","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN2.0","Phase Shift","MeanState","global","scalar","months","0.508716","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN2.0","Seasonal Cycle Score","MeanState","global","score","1","0.947421","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN2.0","RMSE","MeanState","global","scalar","W m-2","15.8203","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN2.0","RMSE Score","MeanState","global","score","1","0.704164","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM-FUN2.0","Overall Score","MeanState","global","score","1","0.750884","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM","Period Mean (original grids)","MeanState","global","scalar","W m-2","311.846","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM","Bias","MeanState","global","scalar","W m-2","2.31372","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM","Bias Score","MeanState","global","score","1","0.647786","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM","Phase Shift","MeanState","global","scalar","months","0.508716","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM","Seasonal Cycle Score","MeanState","global","score","1","0.947421","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM","RMSE","MeanState","global","scalar","W m-2","15.8203","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM","RMSE Score","MeanState","global","score","1","0.704164","12.0"
"Forcings","SurfaceDownwardLWRadiation","FLUXNET2015","E3SM","Overall Score","MeanState","global","score","1","0.750884","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","307.34","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM","Bias","MeanState","global","scalar","Watt m-2","-4.28916","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM","Bias Score","MeanState","global","score","1","0.668335","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM","Phase Shift","MeanState","global","scalar","months","0.404825","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM","Seasonal Cycle Score","MeanState","global","score","1","0.960203","12.0"
