     IHistClm50BgcSoudzi   IHistClm50Bgc
    0       1.29      1.29
    1       0.00      0.05
    2      -0.15     -0.13
    3       0.00      0.05
    4      -0.19     -0.18
    5       0.00      0.09
    6      -0.24     -0.22
    7       0.00      0.05
    8      -0.06     -0.05
    9       0.05      0.02
   10      -0.12     -0.10
   11       0.00      0.05
   12      54.96     54.77
