     IHistClm50BgcSoudzi   IHistClm50Bgc
    0       4.42      4.42
    1       0.35      0.53
    2      -0.71     -0.72
    3       0.27      0.23
    4       3.01      3.01
    5       0.57      0.61
    6       0.43      0.42
    7       0.25      0.52
    8       0.49      0.49
    9       0.20      0.08
   10      -1.59     -1.60
   11       0.31      0.17
   12      26.38     26.35
