     IHistClm50BgcSoudzi   IHistClm50Bgc
    0      12.59     12.60
    1       0.04      0.05
    2       1.90      1.97
    3       0.05      0.10
    4       0.60      0.66
    5       0.10      0.14
    6      -0.88     -0.79
    7       0.19      0.19
    8       5.32      5.39
    9       0.26      0.03
   10       2.06      2.10
   11       0.22      0.05
   12      66.38     66.20
