     IHistClm50BgcSteidinger   IHistClm50Bgc
    0      12.58     12.60
    1       0.78      0.69
    2       1.85      1.97
    3       0.38      1.01
    4       0.60      0.66
    5       1.66      1.02
    6      -0.94     -0.79
    7       1.09      1.32
    8       5.25      5.39
    9       1.37      1.94
   10       1.96      2.10
   11       0.86      1.24
   12      66.73     66.20
