     IHistClm50BgcSteidinger   IHistClm50Bgc
    0       1.28      1.29
    1       0.56      0.24
    2      -0.14     -0.13
    3       0.90      0.36
    4      -0.18     -0.18
    5       1.04      0.53
    6      -0.24     -0.22
    7       1.01      0.52
    8      -0.06     -0.05
    9       0.83      0.76
   10      -0.12     -0.10
   11       0.77      0.28
   12      55.20     54.77
