     IHistClm50BgcSteidinger   IHistClm50Bgc
    0       0.78      0.79
    1       0.50      0.60
    2       0.12      0.14
    3       1.16      1.56
    4       0.07      0.09
    5       1.83      1.21
    6      -0.08     -0.06
    7       1.49      1.38
    8       0.16      0.18
    9       2.40      1.90
   10       0.29      0.32
   11       1.26      1.36
   12      11.62     11.07
