     IHistClm50BgcSteidinger   IHistClm50Bgc
    0       1.28      1.28
    1       0.00      0.00
    2       0.04      0.04
    3       0.00      0.05
    4      -0.34     -0.34
    5       0.00      0.05
    6       0.01      0.01
    7       0.00      0.09
    8       0.31      0.31
    9       0.05      0.05
   10       0.03      0.02
   11       0.00      0.04
   12      93.69     93.64
