     IHistClm50BgcSteidinger   IHistClm50Bgc
    0       4.44      4.42
    1       0.84      1.11
    2      -0.71     -0.72
    3       0.84      1.04
    4       3.03      3.01
    5       1.36      1.96
    6       0.43      0.42
    7       1.34      1.16
    8       0.49      0.49
    9       0.77      1.17
   10      -1.59     -1.60
   11       0.82      1.03
   12      26.50     26.35
