     IHistClm50BgcSulman_v2   IHistClm50Bgc
    0       4.42      4.42
    1       0.21      0.09
    2      -0.72     -0.72
    3       0.04      0.24
    4       3.00      3.01
    5       0.30      0.23
    6       0.42      0.42
    7       0.10      0.25
    8       0.49      0.49
    9       0.17      0.12
   10      -1.60     -1.60
   11       0.03      0.20
   12      26.39     26.35
