     IHistClm50BgcSulman_v2   IHistClm50Bgc
    0      12.60     12.60
    1       0.04      0.14
    2       1.92      1.97
    3       0.05      0.14
    4       0.61      0.66
    5       0.15      0.28
    6      -0.85     -0.79
    7       0.16      0.24
    8       5.33      5.39
    9       0.33      0.22
   10       2.06      2.10
   11       0.23      0.10
   12      66.24     66.20
