     IHistClm50BgcSulman_v2   IHistClm50Bgc
    0       0.78      0.79
    1       0.10      0.00
    2       0.13      0.14
    3       0.26      0.08
    4       0.08      0.09
    5       0.34      0.26
    6      -0.06     -0.06
    7       0.31      0.08
    8       0.17      0.18
    9       0.23      0.13
   10       0.31      0.32
   11       0.10      0.22
   12      11.14     11.07
