     IHistClm50BgcSulman_v2   IHistClm50Bgc
    0       1.29      1.29
    1       0.00      0.10
    2      -0.14     -0.13
    3       0.00      0.10
    4      -0.19     -0.18
    5       0.05      0.14
    6      -0.23     -0.22
    7       0.09      0.10
    8      -0.05     -0.05
    9       0.10      0.07
   10      -0.11     -0.10
   11       0.00      0.05
   12      54.81     54.77
