"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","SurfaceAirTemperature","FLUXNET2015","NorESM1-M","Seasonal Cycle Score","MeanState","above","score","1","1","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","NorESM1-M","RMSE","MeanState","global","scalar","degC","3.66758","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","NorESM1-M","RMSE","MeanState","above","scalar","degC","5.11871","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","NorESM1-M","RMSE Score","MeanState","global","score","1","0.679673","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","NorESM1-M","RMSE Score","MeanState","above","score","1","0.68687","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","NorESM1-M","Overall Score","MeanState","global","score","1","0.782356","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","NorESM1-M","Overall Score","MeanState","above","score","1","0.82657","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Period Mean (original grids)","MeanState","global","scalar","degC","10.593","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Period Mean (original grids)","MeanState","above","scalar","degC","-0.611575","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Bias","MeanState","global","scalar","degC","0.281793","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Bias","MeanState","above","scalar","degC","1.14438","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Bias Score","MeanState","global","score","1","0.772943","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Bias Score","MeanState","above","score","1","0.892501","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Phase Shift","MeanState","global","scalar","months","0.414553","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Phase Shift","MeanState","above","scalar","months","0.190625","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Seasonal Cycle Score","MeanState","global","score","1","0.966491","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Seasonal Cycle Score","MeanState","above","score","1","0.987373","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","RMSE","MeanState","global","scalar","degC","3.60934","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","RMSE","MeanState","above","scalar","degC","4.9405","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","RMSE Score","MeanState","global","score","1","0.648048","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","RMSE Score","MeanState","above","score","1","0.706864","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Overall Score","MeanState","global","score","1","0.758883","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","MPI-ESM1-2-LR","Overall Score","MeanState","above","score","1","0.8234","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Period Mean (original grids)","MeanState","global","scalar","degC","9.6236","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Period Mean (original grids)","MeanState","above","scalar","degC","-3.73458","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Bias","MeanState","global","scalar","degC","-0.687645","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Bias","MeanState","above","scalar","degC","-1.97863","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Bias Score","MeanState","global","score","1","0.758547","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Bias Score","MeanState","above","score","1","0.867854","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Phase Shift","MeanState","global","scalar","months","0.475203","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Phase Shift","MeanState","above","scalar","months","0","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Seasonal Cycle Score","MeanState","global","score","1","0.958017","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Seasonal Cycle Score","MeanState","above","score","1","1","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","RMSE","MeanState","global","scalar","degC","3.98701","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","RMSE","MeanState","above","scalar","degC","5.2765","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","RMSE Score","MeanState","global","score","1","0.629125","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","RMSE Score","MeanState","above","score","1","0.692221","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Overall Score","MeanState","global","score","1","0.743703","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","UKESM1-0-LL","Overall Score","MeanState","above","score","1","0.813074","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Period Mean (original grids)","MeanState","global","scalar","degC","10.9495","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Period Mean (original grids)","MeanState","above","scalar","degC","-0.380898","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Bias","MeanState","global","scalar","degC","1.18984","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Bias","MeanState","above","scalar","degC","1.67662","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Bias Score","MeanState","global","score","1","0.781176","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Bias Score","MeanState","above","score","1","0.872649","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Phase Shift","MeanState","global","scalar","months","0.319897","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Phase Shift","MeanState","above","scalar","months","0","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Seasonal Cycle Score","MeanState","global","score","1","0.976692","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Seasonal Cycle Score","MeanState","above","score","1","1","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","RMSE","MeanState","global","scalar","degC","3.26561","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","RMSE","MeanState","above","scalar","degC","4.08418","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","RMSE Score","MeanState","global","score","1","0.741489","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","RMSE Score","MeanState","above","score","1","0.77413","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Overall Score","MeanState","global","score","1","0.810211","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Overall Score","MeanState","above","score","1","0.855227","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","Period Mean (original grids)","MeanState","global","scalar","degC","11.0439","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","Period Mean (original grids)","MeanState","above","scalar","degC","-2.18904","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","Bias","MeanState","global","scalar","degC","0.732709","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","Bias","MeanState","above","scalar","degC","-0.433088","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","Bias Score","MeanState","global","score","1","0.748697","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","Bias Score","MeanState","above","score","1","0.91708","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","Phase Shift","MeanState","global","scalar","months","0.470488","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","Phase Shift","MeanState","above","scalar","months","0","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","Seasonal Cycle Score","MeanState","global","score","1","0.962144","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","Seasonal Cycle Score","MeanState","above","score","1","1","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","RMSE","MeanState","global","scalar","degC","3.90083","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","RMSE","MeanState","above","scalar","degC","4.71656","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","RMSE Score","MeanState","global","score","1","0.643715","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","CanESM5","RMSE Score","MeanState","above","score","1","0.709882","18.0"
