     ISSP585Clm50BgcCrop_myc   ISSP585Clm50BgcCrop_all
    0       0.55      0.55
    1       0.00      0.00
    2       0.06      0.06
    3       0.00      0.00
    4       0.13      0.13
    5       0.00      0.00
    6       0.06      0.06
    7       0.00      0.00
    8      -0.02     -0.02
    9       0.00      0.00
   10       0.05      0.05
   11       0.00      0.00
   12      63.39     63.39
