     ISSP585Clm50BgcCrop_myc   ISSP585Clm50BgcCrop_all
    0       1.70      1.70
    1       0.00      0.00
    2       1.16      1.16
    3       0.00      0.00
    4       0.80      0.80
    5       0.00      0.00
    6       1.28      1.27
    7       0.00      0.00
    8       1.25      1.25
    9       0.00      0.00
   10       1.17      1.17
   11       0.00      0.00
   12      93.35     93.35
