     ISSP585Clm50BgcCrop_myc   ISSP585Clm50BgcCrop_all
    0      12.68     12.68
    1       0.00      0.00
    2       0.68      0.68
    3       0.00      0.00
    4       0.55      0.55
    5       0.00      0.00
    6      -0.75     -0.75
    7       0.00      0.00
    8       2.80      2.79
    9       0.00      0.00
   10      -0.35     -0.36
   11       0.00      0.00
   12      62.91     62.96
