     ISSP585Clm50BgcCrop_myc   ISSP585Clm50BgcCrop_all
    0       4.14      4.14
    1       0.00      0.00
    2      -0.99     -0.99
    3       0.00      0.00
    4       2.10      2.10
    5       0.00      0.00
    6      -0.23     -0.23
    7       0.00      0.00
    8       0.51      0.51
    9       0.00      0.00
   10      -1.81     -1.81
   11       0.00      0.00
   12      26.53     26.53
