     ISSP585Clm50BgcCrop_myc   ISSP585Clm50BgcCrop_all
    0       1.58      1.58
    1       0.00      0.00
    2       0.66      0.65
    3       0.00      0.00
    4       0.38      0.38
    5       0.00      0.00
    6       0.61      0.61
    7       0.00      0.00
    8       1.22      1.22
    9       0.00      0.00
   10       0.38      0.38
   11       0.00      0.00
   12      44.48     44.45
