Variables,E3SM,E3SM-FUN2.0,E3SM-FUN3.0
Biomass,0.4455759577992989,0.5433903406555699,0.7204477805634373
Gross Primary Productivity,0.6651620542339136,0.6692860122242463,0.6797605194332849
Leaf Area Index,0.3936199710001584,0.44670686211986216,0.5055666041659836
Ecosystem Respiration,0.49710573550588305,0.5017569763169337,0.572570466299136
Soil Carbon,0.5499011805292997,0.5847961298464253,0.6809425362259712
Evapotranspiration,0.5076182586190884,0.5124534902153093,0.5421491410283374
