     I1850Clm50BgcCropStein_grid   I1850Clm50BgcCrop
    0      13.03     13.04
    1       0.00      0.05
    2       1.30      1.37
    3       0.05      0.05
    4       0.38      0.44
    5       0.00      0.05
    6      -1.34     -1.16
    7       0.00      0.05
    8       4.61      4.65
    9       0.05      0.10
   10       1.01      1.01
   11       0.18      0.05
   12      62.00     62.11
