Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Model Period Mean (intersection),MeanState,global,scalar,Pg,203.98
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Model Period Mean (complement),MeanState,global,scalar,Pg,1029.07
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Benchmark Period Mean (intersection),MeanState,above,scalar,Pg,126.934
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Benchmark Period Mean (complement),MeanState,above,scalar,Pg,3.72327
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Period Mean (original grids),MeanState,above,scalar,Pg,89.8603
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Model Period Mean (intersection),MeanState,above,scalar,Pg,62.9828
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Model Period Mean (complement),MeanState,above,scalar,Pg,28.4418
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Spatial Distribution Score,MeanState,global,score,1,0.397241
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Spatial Distribution Score,MeanState,above,score,1,0.347215
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Bias,MeanState,global,scalar,kg m-2,-11.8628
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Bias Score,MeanState,global,score,1,0.536799
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Bias,MeanState,above,scalar,kg m-2,-10.1315
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Bias Score,MeanState,above,score,1,0.51383
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Overall Score,MeanState,global,score,1,0.46702
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,HadGEM2-CC,Overall Score,MeanState,above,score,1,0.430523
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Benchmark Period Mean (intersection),MeanState,global,scalar,Pg,472.846
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Benchmark Period Mean (complement),MeanState,global,scalar,Pg,nan
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Period Mean (original grids),MeanState,global,scalar,Pg,1326.34
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Model Period Mean (intersection),MeanState,global,scalar,Pg,346.776
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Model Period Mean (complement),MeanState,global,scalar,Pg,1055.09
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Benchmark Period Mean (intersection),MeanState,above,scalar,Pg,130.657
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Benchmark Period Mean (complement),MeanState,above,scalar,Pg,nan
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Period Mean (original grids),MeanState,above,scalar,Pg,78.2967
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Model Period Mean (intersection),MeanState,above,scalar,Pg,53.8466
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Model Period Mean (complement),MeanState,above,scalar,Pg,20.5213
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Spatial Distribution Score,MeanState,global,score,1,0.810304
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Spatial Distribution Score,MeanState,above,score,1,0.268449
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Bias,MeanState,global,scalar,kg m-2,-5.57914
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Bias Score,MeanState,global,score,1,0.571856
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Bias,MeanState,above,scalar,kg m-2,-11.9933
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Bias Score,MeanState,above,score,1,0.504609
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Overall Score,MeanState,global,score,1,0.69108
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,CanESM2,Overall Score,MeanState,above,score,1,0.386529
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Benchmark Period Mean (intersection),MeanState,global,scalar,Pg,472.846
