     IHistClm50BgcSulman   IHistClm50Bgc
    0       0.53      0.53
    1       0.00      0.00
    2       0.01      0.01
    3       0.00      0.00
    4       0.04      0.04
    5       0.00      0.00
    6       0.01      0.01
    7       0.00      0.00
    8       0.01      0.01
    9       0.00      0.00
   10      -0.02     -0.02
   11       0.00      0.00
   12      65.31     65.31
