     IHistClm50BgcSulman   IHistClm50Bgc
    0      12.60     12.60
    1       0.08      0.14
    2       1.88      1.97
    3       0.05      0.14
    4       0.56      0.66
    5       0.19      0.28
    6      -0.91     -0.79
    7       0.19      0.24
    8       5.32      5.39
    9       0.38      0.22
   10       2.04      2.10
   11       0.27      0.10
   12      66.21     66.20
