     IHistClm50BgcSulman   IHistClm50Bgc
    0       1.29      1.29
    1       0.00      0.10
    2      -0.15     -0.13
    3       0.00      0.10
    4      -0.20     -0.18
    5       0.05      0.18
    6      -0.25     -0.22
    7       0.09      0.10
    8      -0.06     -0.05
    9       0.10      0.07
   10      -0.12     -0.10
   11       0.00      0.05
   12      54.95     54.77
