     IHistClm50BgcSulman   IHistClm50Bgc
    0       4.42      4.42
    1       0.36      0.16
    2      -0.72     -0.72
    3       0.00      0.29
    4       2.99      3.01
    5       0.46      0.26
    6       0.42      0.42
    7       0.15      0.31
    8       0.49      0.49
    9       0.27      0.12
   10      -1.60     -1.60
   11       0.03      0.20
   12      26.39     26.35
