     IHistClm50BgcSteidinger   IHistClm50Bgc
    0      12.98     13.02
    1       0.63      0.51
    2       2.33      2.46
    3       0.61      0.98
    4       0.63      0.69
    5       1.31      0.87
    6      -0.40     -0.26
    7       1.16      1.10
    8       6.02      6.17
    9       1.27      1.38
   10       2.52      2.68
   11       1.00      0.91
   12      64.49     63.89
