     IHistClm50BgcSteidinger   IHistClm50Bgc
    0       4.50      4.49
    1       1.09      1.07
    2      -0.70     -0.70
    3       0.84      0.79
    4       3.03      3.02
    5       1.06      1.25
    6       0.44      0.43
    7       1.01      0.89
    8       0.53      0.53
    9       0.96      1.17
   10      -1.55     -1.56
   11       0.67      0.80
   12      26.31     26.32
