     IHistClm50BgcSteidinger   IHistClm50Bgc
    0       0.93      0.95
    1       0.63      0.59
    2       0.41      0.44
    3       1.89      1.71
    4       0.34      0.36
    5       2.26      1.51
    6       0.19      0.21
    7       2.00      1.32
    8       0.48      0.51
    9       2.06      2.18
   10       0.61      0.64
   11       1.90      1.82
   12      11.07     10.69
