     IHistClm50BgcSoudzi   IHistClm50Bgc
    0       1.33      1.33
    1       0.00      0.04
    2       0.22      0.23
    3       0.05      0.14
    4       0.06      0.07
    5       0.06      0.09
    6       0.10      0.11
    7       0.04      0.09
    8       0.47      0.49
    9       0.12      0.00
   10       0.23      0.24
   11       0.09      0.14
   12      54.18     53.84
