     IHistClm50BgcSoudzi   IHistClm50Bgc
    0      13.01     13.02
    1       0.06      0.00
    2       2.39      2.46
    3       0.23      0.14
    4       0.63      0.69
    5       0.30      0.14
    6      -0.35     -0.26
    7       0.17      0.37
    8       6.11      6.17
    9       0.21      0.01
   10       2.64      2.68
   11       0.23      0.05
   12      63.83     63.89
