     IHistClm50BgcSoudzi   IHistClm50Bgc
    0       4.48      4.49
    1       0.57      0.27
    2      -0.70     -0.70
    3       0.18      0.14
    4       3.01      3.02
    5       0.44      0.30
    6       0.44      0.43
    7       0.13      0.25
    8       0.53      0.53
    9       0.22      0.12
   10      -1.55     -1.56
   11       0.09      0.16
   12      26.30     26.32
