     IHistClm50BgcSoudzi   IHistClm50Bgc
    0       0.94      0.95
    1       0.15      0.00
    2       0.42      0.44
    3       0.50      0.33
    4       0.35      0.36
    5       0.77      0.13
    6       0.20      0.21
    7       0.43      0.29
    8       0.49      0.51
    9       0.36      0.26
   10       0.63      0.64
   11       0.42      0.24
   12      11.19     10.69
