Variables,EnsembleCMIP5,EnsembleCMIP6,CliMA
Gross Primary Productivity,0.6118741329265025,0.6608411323978078,0.5559964178358269
Surface Air Temperature,0.8332865967627929,0.8407114413070191,--
Precipitation,0.6769324584735569,0.6973885394465036,--
Surface Downward SW Radiation,0.8023832198516003,0.8587470837736829,--
