     I1850Clm50BgcCropSulman_grid   I1850Clm50BgcCrop
    0       0.60      0.60
    1       0.00      0.00
    2       0.01      0.01
    3       0.00      0.00
    4       0.03      0.03
    5       0.00      0.00
    6       0.01      0.01
    7       0.00      0.00
    8       0.01      0.01
    9       0.00      0.00
   10      -0.03     -0.03
   11       0.00      0.00
   12      56.92     56.92
