     I1850Clm50BgcCropStein   I1850Clm50BgcCrop
    0      13.02     13.04
    1       0.00      0.05
    2       1.23      1.37
    3       0.00      0.00
    4       0.34      0.44
    5       0.00      0.05
    6      -1.43     -1.16
    7       0.00      0.05
    8       4.52      4.65
    9       0.05      0.14
   10       0.95      1.01
   11       0.09      0.10
   12      61.98     62.11
