     I1850Clm50BgcCropStein   I1850Clm50BgcCrop
    0       1.30      1.30
    1       0.00      0.05
    2      -0.28     -0.26
    3       0.00      0.00
    4      -0.26     -0.24
    5       0.00      0.10
    6      -0.35     -0.31
    7       0.00      0.05
    8      -0.23     -0.20
    9       0.00      0.00
   10      -0.31     -0.29
   11       0.00      0.00
   12      49.38     49.31
