     I1850Clm50BgcCropStein   I1850Clm50BgcCrop
    0       4.44      4.44
    1       0.00      0.00
    2      -0.79     -0.80
    3       0.00      0.00
    4       2.93      2.93
    5       0.04      0.00
    6       0.35      0.35
    7       0.00      0.00
    8       0.44      0.43
    9       0.00      0.00
   10      -1.67     -1.67
   11       0.00      0.00
   12      26.18     26.22
