     IHistClm50BgcSulman_v2   IHistClm50Bgc
    0       1.33      1.33
    1       0.05      0.14
    2       0.23      0.23
    3       0.14      0.09
    4       0.07      0.07
    5       0.09      0.18
    6       0.11      0.11
    7       0.10      0.14
    8       0.48      0.49
    9       0.05      0.05
   10       0.23      0.24
   11       0.10      0.10
   12      54.24     53.84
