     IHistClm50BgcSulman_v2   IHistClm50Bgc
    0       4.48      4.49
    1       0.32      0.09
    2      -0.71     -0.70
    3       0.20      0.15
    4       3.02      3.02
    5       0.21      0.26
    6       0.43      0.43
    7       0.25      0.15
    8       0.52      0.53
    9       0.10      0.09
   10      -1.56     -1.56
   11       0.14      0.12
   12      26.28     26.32
