     IHistClm50BgcSulman_v2   IHistClm50Bgc
    0      13.03     13.02
    1       0.04      0.14
    2       2.42      2.46
    3       0.14      0.24
    4       0.65      0.69
    5       0.19      0.23
    6      -0.30     -0.26
    7       0.09      0.37
    8       6.13      6.17
    9       0.37      0.10
   10       2.63      2.68
   11       0.23      0.14
   12      63.83     63.89
