DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      IHistClm50BgcSteidinger  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         286.353             286.353              16.780              17.280               6.080               6.299             139.567             141.045              37.456              36.277              92.518              91.721
Canadian Arctic        257.152             257.152               1.897               1.872               0.843               0.836              16.419              16.277              65.182              65.429             166.610             165.959
Greenland              609.965             609.965               1.986               1.963               0.302               0.299               4.734               4.738             -11.111             -10.869             264.944             263.581
Russian Arctic         309.888             309.888              11.153              11.328               3.944               4.014             112.086             112.351              58.596              58.340             128.033             127.848
Antarctica             247.985             247.985               0.000               0.000               0.000               0.000               0.000               0.000              -8.670              -8.669               6.803               6.802
Alaska                 652.098             652.098              33.475              34.172               6.150               6.272             151.817             154.293              59.382              57.992             407.421             405.636
Northwest Canada       375.343             375.343              24.488              24.237               6.021               5.932             171.235             169.516             120.056             121.541              59.380              59.842
Central Canada         544.034             544.034              41.191              41.225               7.429               7.433             187.077             187.212             157.535             157.426             157.918             157.853
Eastern Canada         791.435             791.435              37.290              37.179               4.489               4.472             109.488             108.864             125.225             125.940             519.214             519.234
Northern Europe        648.146             648.146              39.434              39.578               6.475               6.477             170.583             169.584              69.330              69.333             368.548             369.368
Western Siberia        517.754             517.754              35.133              35.030               6.795               6.779             208.986             208.651              98.324              99.112             174.876             174.524
Eastern Siberia        381.790             381.790              23.965              23.982               5.978               5.976             145.304             145.581              94.571              94.331             118.030             117.976
Western U.S.           435.018             435.018              20.832              22.196               4.695               4.923             103.566             113.194             152.816             147.599             157.939             152.180
Central U.S.           765.446             765.446              72.950              74.839               9.889              10.120             309.967             317.208             160.919             157.268             221.752             216.284
Eastern U.S.          1073.702            1073.702              84.352              85.162               7.615               7.681             329.150             330.954             187.247             186.096             473.070             471.609
Europe                 818.686             818.686              56.660              56.527               7.045               7.024             260.978             259.266              92.049              92.371             408.935             410.454
Mediterranean          712.024             712.024              49.045              50.133               6.898               7.054             295.823             299.707             133.617             129.995             233.568             232.203
Central America       2321.650            2321.650             334.002             334.137              14.959              14.966             752.211             753.078             172.408             171.940            1062.809            1062.271
Amazonia              2042.705            2042.705             226.884             227.047              11.108              11.116             770.381             771.350             198.342             197.878             847.275             846.608
Central Africa        1637.739            1637.739             228.488             228.747              13.883              13.889             719.708             718.335             156.210             155.962             533.145             534.514
Indonesia             2826.926            2826.926             310.655             312.148              11.883              11.938             821.900             823.637             151.853             149.972            1542.494            1541.144
Brazil                1394.025            1394.025             157.588             159.867              11.467              11.637             619.714             627.427             200.295             195.332             416.438             411.436
Sahel                 1020.853            1020.853              97.345              98.159               9.788               9.851             362.647             367.017             229.395             227.902             331.382             327.698
Southern Africa        905.067             905.067              66.771              65.447               7.313               7.158             354.103             351.814             254.945             259.289             229.094             228.381
India                 1126.653            1126.653              80.975              81.338               7.329               7.333             498.346             494.901             212.920             216.505             334.562             334.160
Indochina             1866.128            1866.128             136.121             134.998               7.612               7.472             653.199             655.480             192.223             194.205             884.632             881.530
Sahara Desert           91.876              91.876               1.705               1.730               0.664               0.673              17.621              17.720              62.020              61.822              10.481              10.531
Arabian Peninsula       69.486              69.486               0.894               0.899               0.473               0.476              14.491              15.006              49.386              49.015               4.779               4.633
Australia              267.706             267.706              10.724              10.868               3.901               3.951             111.822             112.991             127.210             126.261              17.999              17.659
Central Asia           206.878             206.878               3.757               3.888               1.558               1.576              64.683              67.082             110.413             109.307              28.226              26.826
Mongolia               203.601             203.601              12.850              12.892               4.426               4.430              81.252              81.218              90.708              90.757              19.098              19.039
Tibetan Plateau        566.182             566.182              26.409              26.428               4.325               4.338             162.011             162.121              88.256              88.154             289.513             289.487
Central Asia           303.410             303.410              11.010              11.036               2.968               2.970              96.636              97.451             145.618             145.254              50.262              49.789
NE China               357.496             357.496              30.240              30.415               6.796               6.822             164.030             164.350             101.112             101.046              62.342              61.925
Eastern China          695.475             695.475              63.617              63.908               9.001               9.038             319.306             321.406             105.700             104.663             206.930             205.580
Tibetan Plateau        566.182             566.182              26.409              26.428               4.325               4.338             162.011             162.121              88.256              88.154             289.513             289.487
Southern Asia         1202.040            1202.040              90.842              92.269               6.622               6.710             396.043             402.222             140.717             138.198             574.477             569.405
Sahara and Arabia       82.988              82.988               1.418               1.436               0.597               0.605              16.413              16.628              57.574              57.330               7.568               7.562
MedSea and MidEast     431.482             431.482              21.102              21.569               3.512               3.582             168.149             170.076             161.951             160.584              80.375              79.352
Tigris Euphrates       381.053             381.053               8.262               8.669               1.832               1.926             138.496             139.110             158.303             157.943              76.148              75.489
Polar                  420.115             420.115              14.950              14.998               3.616               3.630              96.603              96.472              64.116              64.251             198.929             198.712
Lost Boreal Forest     544.162             544.162               0.000               0.000               0.000               0.000               0.000               0.000             -13.961             -13.963               3.908               3.908
N. Hemisphere Land     684.188             684.188              53.612              53.905               5.598               5.635             227.766             229.091             124.073             123.434             271.084             270.079
S. Hemisphere Land     867.882             867.882              83.155              83.575               6.488               6.522             304.314             306.805             125.297             124.308             282.275             280.328
Global                 743.897             743.897              63.215              63.549               5.887               5.923             252.647             254.352             124.470             123.718             274.721             273.410
