DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      IHistClm50BgcSulman  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         286.353             286.353              17.483              17.280               6.379               6.299             141.489             141.045              35.998              36.277              91.358              91.721
Canadian Arctic        257.152             257.152               1.893               1.872               0.844               0.836              16.399              16.277              65.332              65.429             165.911             165.959
Greenland              609.965             609.965               1.988               1.963               0.302               0.299               4.759               4.738             -10.877             -10.869             263.568             263.581
Russian Arctic         309.888             309.888              11.384              11.328               4.031               4.014             112.654             112.351              58.114              58.340             127.713             127.848
Antarctica             247.985             247.985               0.000               0.000               0.000               0.000               0.000               0.000              -8.669              -8.669               6.802               6.802
Alaska                 652.098             652.098              34.267              34.172               6.293               6.272             154.588             154.293              57.830              57.992             405.406             405.636
Northwest Canada       375.343             375.343              24.359              24.237               5.968               5.932             170.175             169.516             120.630             121.541              59.974              59.842
Central Canada         544.034             544.034              41.369              41.225               7.460               7.433             187.672             187.212             156.971             157.426             157.704             157.853
Eastern Canada         791.435             791.435              37.181              37.179               4.473               4.472             108.940             108.864             125.938             125.940             519.152             519.234
Northern Europe        648.146             648.146              39.432              39.578               6.461               6.477             170.422             169.584              69.334              69.333             368.729             369.368
Western Siberia        517.754             517.754              35.070              35.030               6.786               6.779             208.605             208.651              99.067              99.112             174.577             174.524
Eastern Siberia        381.790             381.790              24.053              23.982               5.997               5.976             145.885             145.581              94.102              94.331             117.828             117.976
Western U.S.           435.018             435.018              22.105              22.196               4.911               4.923             112.884             113.194             147.671             147.599             152.535             152.180
Central U.S.           765.446             765.446              74.118              74.839              10.042              10.120             314.538             317.208             158.418             157.268             218.553             216.284
Eastern U.S.          1073.702            1073.702              84.325              85.162               7.621               7.681             327.904             330.954             187.697             186.096             473.894             471.609
Europe                 818.686             818.686              56.251              56.527               6.987               7.024             259.020             259.266              92.735              92.371             410.619             410.454
Mediterranean          712.024             712.024              49.403              50.133               6.951               7.054             297.616             299.707             132.382             129.995             232.645             232.203
Central America       2321.650            2321.650             331.268             334.137              14.832              14.966             749.410             753.078             175.112             171.940            1065.645            1062.271
Amazonia              2042.705            2042.705             226.486             227.047              11.090              11.116             770.018             771.350             198.838             197.878             847.540             846.608
Central Africa        1637.739            1637.739             227.441             228.747              13.804              13.889             716.284             718.335             157.706             155.962             536.120             534.514
Indonesia             2826.926            2826.926             309.653             312.148              11.841              11.938             820.754             823.637             153.252             149.972            1543.243            1541.144
Brazil                1394.025            1394.025             158.875             159.867              11.568              11.637             625.352             627.427             196.829             195.332             413.008             411.436
Sahel                 1020.853            1020.853              96.877              98.159               9.758               9.851             361.796             367.017             231.142             227.902             330.954             327.698
Southern Africa        905.067             905.067              64.890              65.447               7.087               7.158             343.353             351.814             263.746             259.289             232.962             228.381
India                 1126.653            1126.653              79.989              81.338               7.234               7.333             490.131             494.901             218.949             216.505             337.829             334.160
Indochina             1866.128            1866.128             133.124             134.998               7.364               7.472             645.192             655.480             199.500             194.205             888.386             881.530
Sahara Desert           91.876              91.876               1.730               1.730               0.673               0.673              17.722              17.720              61.822              61.822              10.529              10.531
Arabian Peninsula       69.486              69.486               0.899               0.899               0.476               0.476              14.998              15.006              49.022              49.015               4.635               4.633
Australia              267.706             267.706              10.866              10.868               3.950               3.951             112.971             112.991             126.273             126.261              17.670              17.659
Central Asia           206.878             206.878               3.871               3.888               1.570               1.576              66.665              67.082             109.584             109.307              26.981              26.826
Mongolia               203.601             203.601              12.882              12.892               4.431               4.430              81.169              81.218              90.760              90.757              19.096              19.039
Tibetan Plateau        566.182             566.182              26.504              26.428               4.348               4.338             162.433             162.121              88.037              88.154             289.218             289.487
Central Asia           303.410             303.410              10.991              11.036               2.966               2.970              96.875              97.451             145.537             145.254              50.122              49.789
NE China               357.496             357.496              30.313              30.415               6.808               6.822             164.047             164.350             101.204             101.046              62.171              61.925
Eastern China          695.475             695.475              63.144              63.908               8.949               9.038             318.222             321.406             106.306             104.663             207.894             205.580
Tibetan Plateau        566.182             566.182              26.504              26.428               4.348               4.338             162.433             162.121              88.037              88.154             289.218             289.487
Southern Asia         1202.040            1202.040              91.098              92.269               6.636               6.710             397.481             402.222             140.788             138.198             572.722             569.405
Sahara and Arabia       82.988              82.988               1.436               1.436               0.605               0.605              16.627              16.628              57.332              57.330               7.562               7.562
MedSea and MidEast     431.482             431.482              21.234              21.569               3.531               3.582             168.061             170.076             162.000             160.584              80.285              79.352
Tigris Euphrates       381.053             381.053               8.437               8.669               1.878               1.926             135.905             139.110             159.591             157.943              77.281              75.489
Polar                  420.115             420.115              15.064              14.998               3.651               3.630              96.900              96.472              63.979              64.251             198.496             198.712
Lost Boreal Forest     544.162             544.162               0.000               0.000               0.000               0.000               0.000               0.000             -13.963             -13.963               3.908               3.908
N. Hemisphere Land     684.188             684.188              53.562              53.905               5.613               5.635             227.988             229.091             124.132             123.434             270.830             270.079
S. Hemisphere Land     867.882             867.882              83.091              83.575               6.485               6.522             304.714             306.805             125.503             124.308             281.710             280.328
Global                 743.897             743.897              63.161              63.549               5.896               5.923             252.928             254.352             124.578             123.718             274.367             273.410
